Nom,Conditionnement,Prix
"Chlorhexidine digluconate 7,1%, 10gr, gel, tube",10,"7,5"
"Clotrimazole, 500mg, Tab gynécol, avec applicateur",1,"0,65"
"Tetracycline, 1%, pommade, tube, 5g, Unité",50,12
"Chlorhexidine + Cetrimide, 1.5% + 15%, 1 l, flacon, Unité",1,"7,8"
"Polyvidone iodine 10%, 200ml, Flacon, Unité",1,"2,5"
"Benzoate de Benyl, 25%, 1litre, Flacon, Unité",1,8
"Miconazole 2%, crème, 30g, Tube, Unité, 10",10,"6,5"
"SULFADIAZINE ARGENTIQUE, 1%, crème, stérile, 50 g, tube",1,"0,9"
"MICONAZOLE, 2%, gel oral, 40g, tube",1,"0,75"
"SERUM PHYSIOLOGIQUE, NaCl, 0,9%, 5 ml, fl. plastique",30,12
