Nom,Unit,Conditionnement,Prix
"Thermomètre mural, Pièce, Unité",1Pièce,1,33
"PHOTOMETRE HEMOGLOBINE (HemoCue Hb 301), tropicalisé",piece,1,1550
"GLUCOMETRE, lecteur glycémie (StatStrip Xpress) mmol/l",piece,1,0
"LAMELLE COUVRE-OBJET, 22 x 22 mm, emballage tropicalisé",piece,200,"3,5"
"LAME PORTE-OBJETS, dépolie, 76 x 26 mm,emballage tropicalisé",piece,50,5
CARTE CONTROLE AU LIT DU PATIENT compatibilité ABO (Serafol),piece,50,800
(carte contrôle au lit du patient Serafol) FEUILLE ADHESIVE,piece,50,0
(carte contrôle au lit du patient Serafol) BATONNETS plast.,piece,100,0
"(pip.aut.) EMBOUT BLEU, 50-1000µl (Eppdf)",piece,1000,15
"PIPETTE, plastique, graduée, cotonnée, stérile 10 ml",piece,200,50
"(s.prél.sang.) TUBE SOUS VIDE, plastique,SERUM SEC,4ml,rouge",piece,100,13
"(s.prél.sang.) TUBE SOUS VIDE, plastique, K2EDTA, 4ml, mauve",piece,100,13
"MICROSCOPE (Olympus CX23LED) COMPLETE (bin,mirror,box)",piece,1,2750
"PAPIER INDICATEUR pH, 2 Ã  9, grad. 0,5, gastr. la bandelette",piece,100,0
"ENTONNOIR, verre, Ã˜ 150 mm",piece,1,0
"PLAQUE, groupage sanguin, lisse, avec 5 cavitÃ©s",piece,1,800
"TUBE A CENTRIFUGER, 15 ml, fond conique, stÃ©rile PP",piece,1,5
"TUBE A HEMOLYSE, Ã˜ 12 mm, verre, 5 ml",piece,1,120
"AGITATEUR, verre, 250 mm, Ã˜ 6-7 mm",piece,1,22
"BECHER, verre, graduÃ© avec bec verseur 10 ml",piece,1,18
"BECHER, verre, graduÃ© avec bec verseur 100 ml",piece,1,20
"BECHER, verre, graduÃ© avec bec verseur 50 ml",piece,1,25
"DISTILLATEUR (Tuttnauer EWS-RD1),0.95L/h, 3.8L, 220V,50/60Hz",piece,1,2500
"CENTRIFUGEUSE, manuelle pour 4 tubes 15 ml",piece,1,60
CENTRIFUGEUSE Ã  hÃ©matocrite Ã©lectr. (Hettich Haematokrit200),piece,1,800
"PISSETTE, col de cygne, plastique, 250 ml",piece,1,9
"FLACON, verre transparent, avec bouchon, 25 ml",piece,1,3
"FLACON COMPTE-GOUTTES, plastique, 60 ml",piece,1,5
"AGITATEUR MAGNETIQUE chauffant, min. 2l, 50-60Hz 230V OU RECHAUD, Ã©lectrique, une plaque diam. 40 cm 3000 W, 230V",piece,1,950
"BARREAU MAGNETIQUE, pour agitateur, 50 mm",piece,1,15
